Date,Close_HSI_Hang_Seng,Close_HSI_Nikkei_225,Close_N225_Hang_Seng,Close_N225_Nikkei_225,HSI_Pct_Change,N225_Pct_Change,Asian_Avg_Pct_Change,Close_HSI,Close_N225
2022-04-25,19869.3398,,,26590.7793,-3.7269,-1.8981,-2.8125,,
2022-04-26,19934.7109,,,26700.1094,0.3290,0.4112,0.3701,,
2022-04-27,19946.3594,,,26386.6309,0.0584,-1.1741,-0.5578,,
2022-04-28,20276.1699,,,26847.9004,1.6535,1.7481,1.7008,,
2022-04-29,21089.3906,,,,4.0107,0.0000,2.0054,,
2022-05-02,,,,26818.5293,0.0000,-0.1094,-0.0547,,
2022-05-03,21101.8906,,,,0.0593,0.0000,0.0296,,
2022-05-04,20869.5195,,,,-1.1012,0.0000,-0.5506,,
2022-05-05,20793.4004,,,,-0.3647,0.0000,-0.1824,,
2022-05-06,20001.9609,,,27003.5605,-3.8062,0.6899,-1.5581,,
2022-05-09,,,,26319.3398,0.0000,-2.5338,-1.2669,,
2022-05-10,19633.6895,,,26167.0996,-1.8412,-0.5784,-1.2098,,
2022-05-11,19824.5703,,,26213.6406,0.9722,0.1779,0.5750,,
2022-05-12,19380.3398,,,25748.7207,-2.2408,-1.7736,-2.0072,,
2022-05-13,19898.7695,,,26427.6504,2.6750,2.6368,2.6559,,
2022-05-16,19950.2109,,,26547.0508,0.2585,0.4518,0.3552,,
2022-05-17,20602.5195,,,26659.7500,3.2697,0.4245,1.8471,,
2022-05-18,20644.2793,,,26911.1992,0.2027,0.9432,0.5729,,
2022-05-19,20120.6797,,,26402.8398,-2.5363,-1.8890,-2.2127,,
2022-05-20,20717.2402,,,26739.0293,2.9649,1.2733,2.1191,,
2022-05-23,20470.0605,,,27001.5195,-1.1931,0.9817,-0.1057,,
2022-05-24,20112.0996,,,26748.1406,-1.7487,-0.9384,-1.3435,,
2022-05-25,20171.2695,,,26677.8008,0.2942,-0.2630,0.0156,,
2022-05-26,20116.1992,,,26604.8398,-0.2730,-0.2735,-0.2733,,
2022-05-27,20697.3594,,,26781.6797,2.8890,0.6647,1.7769,,
2022-05-30,21123.9297,,,27369.4297,2.0610,2.1946,2.1278,,
2022-05-31,21415.1992,,,27279.8008,1.3789,-0.3275,0.5257,,
2022-06-01,21294.9395,,,27457.8906,-0.5616,0.6528,0.0456,,
2022-06-02,21082.1309,,,27413.8809,-0.9993,-0.1603,-0.5798,,
2022-06-03,,,,27761.5703,0.0000,1.2683,0.6341,,
2022-06-06,21653.9004,,,27915.8906,2.7121,0.5559,1.6340,,
2022-06-07,21531.6699,,,27943.9492,-0.5645,0.1005,-0.2320,,
2022-06-08,22014.5898,,,28234.2891,2.2428,1.0390,1.6409,,
2022-06-09,21869.0508,,,28246.5293,-0.6611,0.0434,-0.3089,,
2022-06-10,21806.1797,,,27824.2891,-0.2875,-1.4948,-0.8912,,
2022-06-13,21067.5801,,,26987.4395,-3.3871,-3.0076,-3.1974,,
2022-06-14,21067.9902,,,26629.8594,0.0019,-1.3250,-0.6615,,
2022-06-15,21308.2109,,,26326.1602,1.1402,-1.1404,-0.0001,,
2022-06-16,20845.4297,,,26431.1992,-2.1718,0.3990,-0.8864,,
2022-06-17,21075.0000,,,25963.0000,1.1013,-1.7714,-0.3350,,
2022-06-20,21163.9102,,,25771.2207,0.4219,-0.7387,-0.1584,,
2022-06-21,21559.5898,,,26246.3105,1.8696,1.8435,1.8565,,
2022-06-22,21008.3398,,,26149.5508,-2.5569,-0.3687,-1.4628,,
2022-06-23,21273.8691,,,26171.2500,1.2639,0.0830,0.6735,,
2022-06-24,21719.0605,,,26491.9707,2.0927,1.2255,1.6591,,
2022-06-27,22229.5195,,,26871.2695,2.3503,1.4318,1.8910,,
2022-06-28,22418.9707,,,27049.4707,0.8523,0.6632,0.7577,,
2022-06-29,21996.8906,,,26804.5996,-1.8827,-0.9053,-1.3940,,
2022-06-30,21859.7891,,,26393.0391,-0.6233,-1.5354,-1.0793,,
2022-07-01,,,,25935.6191,0.0000,-1.7331,-0.8666,,
2022-07-04,21830.3496,,,26153.8105,-0.1347,0.8413,0.3533,,
2022-07-05,21853.0703,,,26423.4707,0.1041,1.0311,0.5676,,
2022-07-06,21586.6602,,,26107.6504,-1.2191,-1.1952,-1.2072,,
2022-07-07,21643.5801,,,26490.5293,0.2637,1.4665,0.8651,,
2022-07-08,21725.7793,,,26517.1895,0.3798,0.1006,0.2402,,
2022-07-11,21124.1992,,,26812.3008,-2.7690,1.1129,-0.8280,,
2022-07-12,20844.7402,,,26336.6602,-1.3229,-1.7740,-1.5484,,
2022-07-13,20797.9492,,,26478.7695,-0.2245,0.5396,0.1576,,
2022-07-14,20751.2109,,,26643.3906,-0.2247,0.6217,0.1985,,
2022-07-15,20297.7207,,,26788.4707,-2.1854,0.5445,-0.8204,,
2022-07-18,20846.1797,,,,2.7021,0.0000,1.3510,,
2022-07-19,20661.0605,,,26961.6797,-0.8880,0.6466,-0.1207,,
2022-07-20,20890.2207,,,27680.2598,1.1091,2.6652,1.8872,,
2022-07-21,20574.6309,,,27803.0000,-1.5107,0.4434,-0.5336,,
2022-07-22,20609.1406,,,27914.6602,0.1677,0.4016,0.2847,,
2022-07-25,20562.9395,,,27699.2500,-0.2242,-0.7717,-0.4979,,
2022-07-26,20905.8809,,,27655.2109,1.6678,-0.1590,0.7544,,
2022-07-27,20670.0391,,,27715.7500,-1.1281,0.2189,-0.4546,,
2022-07-28,20622.6797,,,27815.4805,-0.2291,0.3598,0.0654,,
2022-07-29,20156.5098,,,27801.6406,-2.2605,-0.0498,-1.1551,,
2022-08-01,20165.8398,,,27993.3496,0.0463,0.6896,0.3679,,
2022-08-02,19689.2109,,,27594.7305,-2.3635,-1.4240,-1.8938,,
2022-08-03,19767.0898,,,27741.9004,0.3955,0.5333,0.4644,,
2022-08-04,20174.0391,,,27932.1992,2.0587,0.6860,1.3723,,
2022-08-05,20201.9395,,,28175.8691,0.1383,0.8724,0.5053,,
2022-08-08,20045.7695,,,28249.2402,-0.7730,0.2604,-0.2563,,
2022-08-09,20003.4395,,,27999.9609,-0.2112,-0.8824,-0.5468,,
2022-08-10,19610.8398,,,27819.3301,-1.9627,-0.6451,-1.3039,,
2022-08-11,20082.4297,,,,2.4047,0.0000,1.2024,,
2022-08-12,20175.6191,,,28546.9805,0.4640,2.6156,1.5398,,
2022-08-15,20040.8594,,,28871.7793,-0.6679,1.1378,0.2349,,
2022-08-16,19830.5195,,,28868.9102,-1.0496,-0.0099,-0.5297,,
2022-08-17,19922.4492,,,29222.7695,0.4636,1.2257,0.8447,,
2022-08-18,19763.9102,,,28942.1406,-0.7958,-0.9603,-0.8780,,
2022-08-19,19773.0293,,,28930.3301,0.0461,-0.0408,0.0027,,
2022-08-22,19656.9805,,,28794.5000,-0.5869,-0.4695,-0.5282,,
2022-08-23,19503.2500,,,28452.7500,-0.7821,-1.1869,-0.9845,,
2022-08-24,19268.7402,,,28313.4707,-1.2024,-0.4895,-0.8460,,
2022-08-25,19968.3809,,,28479.0098,3.6310,0.5847,2.1078,,
2022-08-26,20170.0391,,,28641.3809,1.0099,0.5701,0.7900,,
2022-08-29,20023.2207,,,27878.9609,-0.7279,-2.6620,-1.6949,,
2022-08-30,19949.0293,,,28195.5801,-0.3705,1.1357,0.3826,,
2022-08-31,19954.3906,,,28091.5293,0.0269,-0.3690,-0.1711,,
2022-09-01,19597.3105,,,27661.4707,-1.7895,-1.5309,-1.6602,,
2022-09-02,19452.0898,,,27650.8398,-0.7410,-0.0384,-0.3897,,
2022-09-05,19225.6992,,,27619.6094,-1.1638,-0.1129,-0.6384,,
2022-09-06,19202.7305,,,27626.5098,-0.1195,0.0250,-0.0472,,
2022-09-07,19044.3008,,,27430.3008,-0.8250,-0.7102,-0.7676,,
2022-09-08,18854.6191,,,28065.2793,-0.9960,2.3149,0.6594,,
2022-09-09,19362.2500,,,28214.7500,2.6923,0.5326,1.6125,,
2022-09-12,,,,28542.1094,0.0000,1.1602,0.5801,,
2022-09-13,19326.8594,,,28614.6309,-0.1828,0.2541,0.0357,,
2022-09-14,18847.0996,,,27818.6191,-2.4823,-2.7818,-2.6321,,
2022-09-15,18930.3809,,,27875.9102,0.4419,0.2059,0.3239,,
2022-09-16,18761.6895,,,27567.6504,-0.8911,-1.1058,-0.9985,,
2022-09-19,18565.9707,,,,-1.0432,0.0000,-0.5216,,
2022-09-20,18781.4199,,,27688.4199,1.1605,0.4381,0.7993,,
2022-09-21,18444.6191,,,27313.1309,-1.7933,-1.3554,-1.5743,,
2022-09-22,18147.9492,,,27153.8301,-1.6084,-0.5832,-1.0958,,
2022-09-23,17933.2695,,,,-1.1829,0.0000,-0.5915,,
2022-09-26,17855.1406,,,26431.5508,-0.4357,-2.6600,-1.5478,,
2022-09-27,17860.3105,,,26571.8691,0.0290,0.5309,0.2799,,
2022-09-28,17250.8809,,,26173.9805,-3.4122,-1.4974,-2.4548,,
2022-09-29,17165.8691,,,26422.0508,-0.4928,0.9478,0.2275,,
2022-09-30,17222.8301,,,25937.2109,0.3318,-1.8350,-0.7516,,
2022-10-03,17079.5098,,,26215.7891,-0.8322,1.0740,0.1209,,
2022-10-04,,,,26992.2109,0.0000,2.9617,1.4808,,
2022-10-05,18087.9707,,,27120.5293,5.9045,0.4754,3.1899,,
2022-10-06,18012.1504,,,27311.3008,-0.4192,0.7034,0.1421,,
2022-10-07,17740.0508,,,27116.1094,-1.5106,-0.7147,-1.1127,,
2022-10-10,17216.6602,,,,-2.9503,0.0000,-1.4752,,
2022-10-11,16832.3594,,,26401.2500,-2.2321,-2.6363,-2.4342,,
2022-10-12,16701.0293,,,26396.8301,-0.7802,-0.0167,-0.3985,,
2022-10-13,16389.1094,,,26237.4199,-1.8677,-0.6039,-1.2358,,
2022-10-14,16587.6895,,,27090.7598,1.2117,3.2524,2.2320,,
2022-10-17,16612.9004,,,26775.7891,0.1520,-1.1626,-0.5053,,
2022-10-18,16914.5801,,,27156.1406,1.8159,1.4205,1.6182,,
2022-10-19,16511.2793,,,27257.3809,-2.3843,0.3728,-1.0058,,
2022-10-20,16280.2197,,,27006.9609,-1.3994,-0.9187,-1.1591,,
2022-10-21,16211.1201,,,26890.5801,-0.4244,-0.4309,-0.4277,,
2022-10-24,15180.6904,,,26974.9004,-6.3563,0.3136,-3.0214,,
2022-10-25,15165.5898,,,27250.2793,-0.0995,1.0209,0.4607,,
2022-10-26,15317.6699,,,27431.8398,1.0028,0.6663,0.8345,,
2022-10-27,15427.9404,,,27345.2402,0.7199,-0.3157,0.2021,,
